Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
San Bernardino County California,1992,1,Private,Total all industries,29915.0,326900.0,425.0
San Bernardino County California,1992,1,Private,Goods-producing,5765.0,72051.33,504.0
San Bernardino County California,1992,1,Private,Natural resources and mining,552.0,5440.67,360.0
San Bernardino County California,1992,1,Private,Construction,3276.0,19173.0,512.0
San Bernardino County California,1992,1,Private,Manufacturing,1937.0,47437.67,518.0
San Bernardino County California,1992,1,Private,Service-providing,24150.0,254848.67,402.0
San Bernardino County California,1992,1,Private,Trade transportation and utilities,6123.0,94412.33,421.0
San Bernardino County California,1992,1,Private,Information,262.0,7689.67,647.0
San Bernardino County California,1992,1,Private,Financial activities,2275.0,18657.67,506.0
San Bernardino County California,1992,1,Private,Professional and business services,2877.0,39502.0,429.0
San Bernardino County California,1992,1,Private,Education and health services,2413.0,43914.67,483.0
San Bernardino County California,1992,1,Private,Leisure and hospitality,2264.0,36327.0,175.0
San Bernardino County California,1992,1,Private,Other services,7832.0,14227.67,274.0
U.S. TOTAL,1992,1,Total Covered,Total all industries,6481425.0,105216724.33,486.0
U.S. TOTAL,1992,1,Federal Government,Total all industries,46916.0,3122397.0,665.0
U.S. TOTAL,1992,1,State Government,Total all industries,58708.0,4021805.67,530.0
U.S. TOTAL,1992,1,Local Government,Total all industries,117564.0,11156005.0,478.0
U.S. TOTAL,1992,1,Private,Total all industries,6258206.0,86915599.33,478.0
U.S. TOTAL,1992,1,Private,Goods-producing,1168463.0,22239897.33,554.0
U.S. TOTAL,1992,1,Private,Natural resources and mining,127615.0,1504363.33,477.0
U.S. TOTAL,1992,1,Private,Construction,648002.0,4136474.67,503.0
U.S. TOTAL,1992,1,Private,Manufacturing,392846.0,16599059.33,574.0
U.S. TOTAL,1992,1,Private,Service-providing,5089743.0,64675702.0,452.0
U.S. TOTAL,1992,1,Private,Trade transportation and utilities,1691416.0,21338852.0,429.0
U.S. TOTAL,1992,1,Private,Information,97490.0,2655084.0,720.0
U.S. TOTAL,1992,1,Private,Financial activities,573984.0,6486769.0,662.0
U.S. TOTAL,1992,1,Private,Professional and business services,858217.0,10465060.33,563.0
U.S. TOTAL,1992,1,Private,Education and health services,568218.0,11342453.33,445.0
U.S. TOTAL,1992,1,Private,Leisure and hospitality,529992.0,8933659.0,204.0
U.S. TOTAL,1992,1,Private,Other services,753834.0,3379996.0,317.0
San Bernardino County California,1992,2,Total Covered,Total all industries,30018.0,416507.0,459.0
San Bernardino County California,1992,2,Federal Government,Total all industries,151.0,14718.67,575.0
San Bernardino County California,1992,2,State Government,Total all industries,465.0,7900.33,739.0
San Bernardino County California,1992,2,Local Government,Total all industries,189.0,62955.0,547.0
San Bernardino County California,1992,2,Private,Total all industries,29213.0,330933.0,431.0
San Bernardino County California,1992,2,Private,Goods-producing,5627.0,74135.33,512.0
San Bernardino County California,1992,2,Private,Natural resources and mining,546.0,5966.0,379.0
San Bernardino County California,1992,2,Private,Construction,3162.0,20541.67,526.0
San Bernardino County California,1992,2,Private,Manufacturing,1919.0,47627.67,522.0
San Bernardino County California,1992,2,Private,Service-providing,23586.0,256797.67,408.0
San Bernardino County California,1992,2,Private,Trade transportation and utilities,6045.0,95318.0,420.0
San Bernardino County California,1992,2,Private,Information,263.0,7551.0,557.0
San Bernardino County California,1992,2,Private,Financial activities,2239.0,18852.33,493.0
San Bernardino County California,1992,2,Private,Professional and business services,2821.0,40084.0,437.0
San Bernardino County California,1992,2,Private,Education and health services,2391.0,44332.67,520.0
San Bernardino County California,1992,2,Private,Leisure and hospitality,2273.0,35750.33,180.0
San Bernardino County California,1992,2,Private,Other services,7460.0,14758.0,279.0
U.S. TOTAL,1992,2,Total Covered,Total all industries,6497427.0,107858966.67,479.0
U.S. TOTAL,1992,2,Federal Government,Total all industries,47114.0,3129532.0,650.0
U.S. TOTAL,1992,2,State Government,Total all industries,58881.0,4049749.0,528.0
U.S. TOTAL,1992,2,Local Government,Total all industries,117924.0,11284585.33,503.0
U.S. TOTAL,1992,2,Private,Total all industries,6273477.0,89394190.67,468.0
U.S. TOTAL,1992,2,Private,Goods-producing,1166595.0,23093614.33,552.0
U.S. TOTAL,1992,2,Private,Natural resources and mining,127409.0,1755024.33,444.0
U.S. TOTAL,1992,2,Private,Construction,646407.0,4552008.0,508.0
U.S. TOTAL,1992,2,Private,Manufacturing,392779.0,16786582.0,575.0
U.S. TOTAL,1992,2,Private,Service-providing,5106882.0,66300576.33,439.0
U.S. TOTAL,1992,2,Private,Trade transportation and utilities,1694213.0,21593630.0,429.0
U.S. TOTAL,1992,2,Private,Information,98123.0,2670149.0,630.0
U.S. TOTAL,1992,2,Private,Financial activities,577866.0,6556316.67,584.0
U.S. TOTAL,1992,2,Private,Professional and business services,864491.0,10857221.33,549.0
U.S. TOTAL,1992,2,Private,Education and health services,571670.0,11492958.67,462.0
U.S. TOTAL,1992,2,Private,Leisure and hospitality,535879.0,9589036.67,203.0
U.S. TOTAL,1992,2,Private,Other services,748776.0,3464215.67,319.0
San Bernardino County California,1992,3,Total Covered,Total all industries,30243.0,407913.0,464.0
San Bernardino County California,1992,3,Federal Government,Total all industries,152.0,13813.67,625.0
San Bernardino County California,1992,3,State Government,Total all industries,409.0,7644.33,760.0
San Bernardino County California,1992,3,Local Government,Total all industries,190.0,55071.0,538.0
San Bernardino County California,1992,3,Private,Total all industries,29492.0,331384.0,438.0
San Bernardino County California,1992,3,Private,Goods-producing,5614.0,74076.67,522.0
San Bernardino County California,1992,3,Private,Natural resources and mining,549.0,5336.0,389.0
San Bernardino County California,1992,3,Private,Construction,3163.0,20702.33,531.0
San Bernardino County California,1992,3,Private,Manufacturing,1902.0,48038.33,533.0
San Bernardino County California,1992,3,Private,Service-providing,23878.0,257307.33,414.0
San Bernardino County California,1992,3,Private,Trade transportation and utilities,6043.0,95293.33,432.0
San Bernardino County California,1992,3,Private,Information,253.0,7570.33,628.0
